family,horizon,n,r0_mean,r_t_mean,relearn_growth_mean,survival_decay_mean,conditional_resurrection_mean,conditional_resurrection_std,conditional_auc_mean,conditional_auc_std,mean_target_margin_growth_mean,conditional_mean_target_margin_growth_mean,retain_nll_mean,refusal_rate_mean
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l06_lk1p75_lr0p1_pen1-2-4-8,64,3,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5091750772173156,0.7899305555555557,0.1819441131252284,2.2462823390960693,2.2462823390960693,4.987282911936442,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l06_lk1p75_lr0p1_pen1-2-4-8,128,3,0.0,1.0,1.0,1.0,1.0,0.0,0.5338541666666666,0.2182378677660761,5.3651344776153564,5.3651344776153564,5.755893230438232,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l06_lk2_lr0p1_pen1-2-4-8,32,3,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.8854166666666666,0.0180421959121757,0.7022194862365723,0.7022194862365723,4.171581745147705,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l06_lk2_lr0p1_pen1-2-4-8,64,3,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5091750772173156,0.7899305555555557,0.1206191228658454,2.2931697368621826,2.2931697368621826,5.2866166432698565,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l06_lk2_lr0p1_pen1-2-4-8,128,3,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1924500897298753,0.5616319444444445,0.2257128064111766,2.8334423965877957,2.8334423965877957,6.802584171295166,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1_lr0p1_pen1-2-4-8,32,3,0.0,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0962250448649376,0.9079861111111112,0.0256920982412304,0.4595939848158094,0.4595939848158094,4.459043184916179,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1_lr0p1_pen1-2-4-8,64,3,0.0,0.3888888888888888,0.3888888888888888,0.3888888888888888,0.3888888888888888,0.5357583756107198,0.8428819444444445,0.1618847974476786,1.932944377263387,1.932944377263387,5.675965150197347,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1_lr0p1_pen1-2-4-8,128,3,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1924500897298753,0.6019965277777778,0.2464769576677889,3.550287776523166,3.550287776523166,6.549052079518636,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p25_lr0p1_pen1-2-4-8,32,3,0.0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.0962250448649375,0.9253472222222224,0.031394342569488,0.4835842980278862,0.4835842980278862,4.371476252873738,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p25_lr0p1_pen1-2-4-8,64,3,0.0,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.0962250448649376,0.8793402777777778,0.0502498459666885,1.5705085330539277,1.5705085330539277,5.215871016184489,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p25_lr0p1_pen1-2-4-8,128,3,0.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0962250448649375,0.6480034722222222,0.0661419030437764,3.4061233732435436,3.4061233732435436,5.890549818674724,0.0
