family,horizon,n,r0,cond_res,cond_auc,margin_growth,retain_nll
hlc_sg_stress_sweep_lk10_lr1,8,3,0.1666666666666666,0.0,1.0,0.15914779239230684,3.6865599950154624
hlc_sg_stress_sweep_lk10_lr1,16,3,0.1666666666666666,0.0,1.0,-0.003932952880859329,4.162264426549275
hlc_sg_stress_sweep_lk10_lr1,32,3,0.1666666666666666,0.0,1.0,0.607235378689236,4.203173240025838
hlc_sg_stress_sweep_lk10_lr1,64,3,0.1666666666666666,0.20000000000000004,0.9500000000000001,1.7182087898254395,4.641171773274739
hlc_sg_stress_sweep_lk10_lr1,128,3,0.1666666666666666,1.0,0.6749999999999999,3.0765949885050454,5.412288824717204
hlc_sg_stress_sweep_lk10_lr3,8,3,0.1666666666666666,0.0,1.0,0.15461921691894528,3.6961991786956787
hlc_sg_stress_sweep_lk10_lr3,16,3,0.1666666666666666,0.0,1.0,0.32820060518052846,3.7584851582845054
hlc_sg_stress_sweep_lk10_lr3,32,3,0.1666666666666666,0.0,1.0,0.6982435650295681,4.322847684224446
hlc_sg_stress_sweep_lk10_lr3,64,3,0.1666666666666666,0.4666666666666666,0.8833333333333333,1.653325080871582,4.907129128774007
hlc_sg_stress_sweep_lk10_lr3,128,3,0.1666666666666666,1.0,0.575,2.69451551967197,6.38485066095988
hlc_sg_stress_sweep_lk3_lr1,8,3,0.1666666666666666,0.0,1.0,0.15719440248277447,3.685697635014852
hlc_sg_stress_sweep_lk3_lr1,16,3,0.1666666666666666,0.0,1.0,0.32374498579237193,3.7522157033284507
hlc_sg_stress_sweep_lk3_lr1,32,3,0.1666666666666666,0.0,1.0,0.7400947676764593,3.9412304560343423
hlc_sg_stress_sweep_lk3_lr1,64,3,0.1666666666666666,0.26666666666666666,0.9333333333333332,1.7835983170403376,4.73779821395874
hlc_sg_stress_sweep_lk3_lr1,128,3,0.1666666666666666,1.0,0.65,3.6181571218702526,5.443413734436035
hlc_sg_stress_sweep_lk3_lr3,8,3,0.1666666666666666,0.0,1.0,0.1513986057705349,3.6889050006866455
hlc_sg_stress_sweep_lk3_lr3,16,3,0.1666666666666666,0.0,1.0,0.3208337889777289,3.7491758664449057
hlc_sg_stress_sweep_lk3_lr3,32,3,0.1666666666666666,0.0,1.0,0.7027758492363825,3.93758487701416
hlc_sg_stress_sweep_lk3_lr3,64,3,0.1666666666666666,0.6,0.85,2.584617190890842,4.464636325836182
hlc_sg_stress_sweep_lk3_lr3,128,3,0.1666666666666666,1.0,0.525,3.137229601542155,4.679385503133138
