family,horizon,n,r0,cond_res,cond_auc,margin_growth,retain_nll
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p75_lr0p1_pen1-2-4-8,32,3,0.1666666666666666,0.0,1.0,0.6398608949449327,4.34455664952596
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p75_lr0p1_pen1-2-4-8,64,3,0.1666666666666666,0.26666666666666666,0.9333333333333332,1.6912350124782989,4.792904853820801
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p75_lr0p1_pen1-2-4-8,128,3,0.1666666666666666,0.9333333333333332,0.6666666666666666,2.758387592103746,6.039432525634766
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk2_lr0p1_pen1-2-4-8,8,3,0.1666666666666666,0.0,1.0,0.1539213392469618,3.6684038639068604
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk2_lr0p1_pen1-2-4-8,16,3,0.1666666666666666,0.0,1.0,0.15697834226820204,4.0403140385945635
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk2_lr0p1_pen1-2-4-8,32,3,0.1666666666666666,0.0,1.0,0.5316987037658691,4.336188236872355
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk2_lr0p1_pen1-2-4-8,64,3,0.1666666666666666,0.39999999999999997,0.9,2.328448798921373,4.614899635314941
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk2_lr0p1_pen1-2-4-8,128,3,0.1666666666666666,1.0,0.6,4.109735939237806,6.460475603739421
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk3_lr0p1_pen1-2-4-8,8,3,0.1666666666666666,0.0,1.0,0.12972863515218097,3.6658618450164795
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk3_lr0p1_pen1-2-4-8,16,3,0.1666666666666666,0.0,1.0,0.031838099161783893,4.081355571746826
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk3_lr0p1_pen1-2-4-8,32,3,0.1666666666666666,0.0,1.0,0.7106158468458389,4.157177845637004
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk3_lr0p1_pen1-2-4-8,64,3,0.1666666666666666,0.20000000000000004,0.9500000000000001,1.5522287156846788,4.916042963663737
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk3_lr0p1_pen1-2-4-8,128,3,0.1666666666666666,0.9333333333333332,0.6916666666666668,2.712782118055556,5.991164525349935
